,LinkID,RoadCategory,RoadName,lat1,lng1,lat2,lng2
0,103000000,E,KENT ROAD,1.3170142376560023,103.85298052044503,1.3166840028663076,103.85259882242372
1,103000010,E,BUCKLEY ROAD,1.3166507852203482,103.84102305136321,1.316912438354752,103.84022564204443
2,103000011,E,BUCKLEY ROAD,1.316912438354752,103.84022564204443,1.3166507852203482,103.84102305136321
3,103000014,E,SHREWSBURY ROAD,1.3186726294030418,103.84700267615683,1.3180212058893457,103.84711392225329
4,103000015,E,SHREWSBURY ROAD,1.3180212058893457,103.84711392225329,1.3186726294030418,103.84700267615683
5,103000018,E,JALAN KORMA,1.3157770120574521,103.84426743639843,1.3159796416371992,103.84479180450104
6,103000019,E,JALAN KORMA,1.3159796416371992,103.84479180450104,1.3157770120574521,103.84426743639843
7,103000022,E,SING AVENUE,1.3157638139947652,103.85346718361517,1.3159850985084538,103.8540099459191
8,103000023,E,SING AVENUE,1.3159850985084538,103.8540099459191,1.3157638139947652,103.85346718361517
9,103000026,E,MOULMEIN RISE,1.3193495076454247,103.84576595796847,1.3193341206043803,103.84649970636902
10,103000027,E,MOULMEIN RISE,1.3193341206043803,103.84649970636902,1.3193495076454247,103.84576595796847
11,103000030,E,SINARAN DRIVE,1.3187614079491163,103.84584773223746,1.3184775003743368,103.845922903644
12,103000031,E,SINARAN DRIVE,1.3184775003743368,103.845922903644,1.3187614079491163,103.84584773223746
13,103000034,E,LEMBU ROAD,1.3095165181658415,103.85444503278327,1.3102490949407017,103.85489147379481
14,103000035,E,LEMBU ROAD,1.3102490949407017,103.85489147379481,1.3095165181658415,103.85444503278327
15,103000036,E,DESKER ROAD,1.3095165181658415,103.85444503278327,1.3098257335080767,103.85396567774879
16,103000040,D,VERDUN ROAD,1.3094817613742067,103.85571657719505,1.3100415318076366,103.85617487784177
17,103000044,E,SYED ALWI ROAD,1.3102490949407017,103.85489147379481,1.3094817613742067,103.85571657719505
18,103000050,E,ORCHARD SPRING LANE,1.3040240949630044,103.82435328722222,1.3035181120546362,103.82439062361162
19,103000051,E,ORCHARD SPRING LANE,1.3035181120546362,103.82439062361162,1.3040240949630044,103.82435328722222
20,103000054,E,KAY SIANG ROAD,1.2977954689273836,103.81184137776128,1.2979363108403927,103.81139535719257
21,103000055,E,KAY SIANG ROAD,1.2979363108403927,103.81139535719257,1.2977954689273836,103.81184137776128
22,103000056,E,MARTABAN ROAD,1.3235238431328136,103.8508428681823,1.3241924351833945,103.85149036161232
23,103000062,E,MARTABAN ROAD,1.3235238431328136,103.8508428681823,1.3242848802266947,103.85008775600024
24,103000063,E,MARTABAN ROAD,1.3242848802266947,103.85008775600024,1.3235238431328136,103.8508428681823
25,103000066,E,JALAN TAN TOCK SENG,1.319450709571759,103.84838600107199,1.3202305802943324,103.84823264087314
26,103000067,E,JALAN TAN TOCK SENG,1.3202305802943324,103.84823264087314,1.319450709571759,103.84838600107199
27,103000068,E,SOPHIA ROAD,1.3020505931348514,103.84753501033079,1.3020981998994814,103.84735684695016
28,103000072,E,MUSCAT STREET,1.3020478491197238,103.85929118664532,1.3024623974822258,103.85961424505442
29,103000078,A,PAN ISLAND EXPRESSWAY,1.3479138498233316,103.6923894384768,1.3491170726830268,103.69342360283092
30,103000079,A,PAN ISLAND EXPRESSWAY,1.3491170726830268,103.69342360283092,1.3479138498233316,103.6923894384768
31,103000080,A,PAN ISLAND EXPRESSWAY,1.3436196253925365,103.78499221155269,1.3431444683048892,103.78388724345461
32,103000086,C,AMBER ROAD,1.3009014346769388,103.90150591557894,1.3000155854751687,103.90006277560406
33,103000087,C,AMBER ROAD,1.3000155854751687,103.90006277560406,1.3009014346769388,103.90150591557894
34,103000090,C,ANG MO KIO AVENUE 4,1.3795549789334551,103.83982137005759,1.3778764702530613,103.83969577191468
35,103000091,C,ANG MO KIO AVENUE 4,1.3778764702530613,103.83969577191468,1.3795549789334551,103.83982137005759
36,103000094,E,JALAN TUPAI,1.302018104115238,103.82687869301155,1.3025271098303324,103.82774617488765
37,103000095,E,JALAN TUPAI,1.3025271098303324,103.82774617488765,1.302018104115238,103.82687869301155
38,103000098,D,TOMLINSON ROAD,1.3034535281731428,103.82621354051224,1.302018104115238,103.82687869301155
39,103000099,D,TOMLINSON ROAD,1.302018104115238,103.82687869301155,1.3034535281731428,103.82621354051224
40,103000106,E,SHREWSBURY ROAD,1.3185208604394962,103.8497306240015,1.3182839067307601,103.8484896779184
41,103000107,E,SHREWSBURY ROAD,1.3182839067307601,103.8484896779184,1.3185208604394962,103.8497306240015
42,103000110,D,TELOK BLANGAH HEIGHTS,1.2771369059505562,103.81040355919788,1.277633353991097,103.80909264308315
43,103000111,D,TELOK BLANGAH HEIGHTS,1.277633353991097,103.80909264308315,1.2771369059505562,103.81040355919788
44,103000114,D,TELOK BLANGAH HEIGHTS,1.277633353991097,103.80909264308315,1.2780189431917124,103.80767112662544
45,103000115,D,TELOK BLANGAH HEIGHTS,1.2780189431917124,103.80767112662544,1.277633353991097,103.80909264308315
46,103000118,D,TELOK BLANGAH HEIGHTS,1.2765900388648779,103.81171237266507,1.276042945010033,103.81302172471231
47,103000119,D,TELOK BLANGAH HEIGHTS,1.276042945010033,103.81302172471231,1.2765900388648779,103.81171237266507
48,103000122,A,PAN ISLAND EXPRESSWAY,1.350438528643087,103.69440892471033,1.3517801862142893,103.69536755921838
49,103000123,A,PAN ISLAND EXPRESSWAY,1.3517801862142893,103.69536755921838,1.350438528643087,103.69440892471033
