LinkID,Location,MaximumSpeed,MinimumSpeed,RoadCategory,RoadName,SpeedBand,Extract Time
103000806,1.2981535674737417 103.81050245388612 1.2982810361681365 103.81033620407007,19,10,E,KAY SIANG ROAD,2,"10/15/2022, 06:55:38"
103000807,1.2982810361681365 103.81033620407007 1.2981535674737417 103.81050245388612,39,30,E,KAY SIANG ROAD,4,"10/15/2022, 06:55:38"
103000810,1.29805905086128 103.88406707129168 1.29970190934658 103.88411348692426,39,30,B,TANJONG RHU ROAD,4,"10/15/2022, 06:55:38"
103000811,1.29970190934658 103.88411348692426 1.29805905086128 103.88406707129168,39,30,B,TANJONG RHU ROAD,4,"10/15/2022, 06:55:38"
103000814,1.2982810361681365 103.81033620407007 1.2980452392774777 103.81013262302979,9,0,E,KAY SIANG ROAD,1,"10/15/2022, 06:55:38"
103000815,1.2980452392774777 103.81013262302979 1.2982810361681365 103.81033620407007,19,10,E,KAY SIANG ROAD,2,"10/15/2022, 06:55:38"
103000818,1.2980452392774777 103.81013262302979 1.2982246918341682 103.8100743238392,9,0,E,KAY SIANG ROAD,1,"10/15/2022, 06:55:38"
103000819,1.2982246918341682 103.8100743238392 1.2980452392774777 103.81013262302979,19,10,E,KAY SIANG ROAD,2,"10/15/2022, 06:55:38"
103000822,1.3010091268966202 103.8253010925262 1.3013868725098114 103.8257790456515,29,20,E,ONE TREE HILL,3,"10/15/2022, 06:55:38"
103000823,1.3013868725098114 103.8257790456515 1.3010091268966202 103.8253010925262,49,40,E,ONE TREE HILL,5,"10/15/2022, 06:55:38"
103000826,1.3010091268966202 103.8253010925262 1.3019154913408086 103.82562409886084,29,20,E,LENGKOK MERAK,3,"10/15/2022, 06:55:38"
103000827,1.3019154913408086 103.82562409886084 1.3010091268966202 103.8253010925262,29,20,E,LENGKOK MERAK,3,"10/15/2022, 06:55:38"
103000830,1.3009866921398463 103.81411709648594 1.3013910245397402 103.8141127804082,29,20,E,RIDLEY PARK,3,"10/15/2022, 06:55:38"
103000831,1.3013910245397402 103.8141127804082 1.3009866921398463 103.81411709648594,29,20,E,RIDLEY PARK,3,"10/15/2022, 06:55:38"
103000834,1.3022870043432744 103.8856082959333 1.3031834748663926 103.88554985502151,49,40,E,GOODMAN ROAD,5,"10/15/2022, 06:55:38"
103000835,1.3031834748663926 103.88554985502151 1.3022870043432744 103.8856082959333,49,40,E,GOODMAN ROAD,5,"10/15/2022, 06:55:38"
103000838,1.3022836478769049 103.82877814631033 1.3025271098303324 103.82774617488765,49,40,E,JALAN TUPAI,5,"10/15/2022, 06:55:38"
103000839,1.3025271098303324 103.82774617488765 1.3022836478769049 103.82877814631033,999,70,E,JALAN TUPAI,8,"10/15/2022, 06:55:38"
103000842,1.303367431108309 103.83695623568973 1.3022825552999076 103.83682781397152,39,30,C,BIDEFORD ROAD,4,"10/15/2022, 06:55:38"
103000843,1.3022825552999076 103.83682781397152 1.303367431108309 103.83695623568973,39,30,C,BIDEFORD ROAD,4,"10/15/2022, 06:55:38"
103000844,1.2960654096709168 103.82596149276202 1.2950687499722084 103.82457458512825,39,30,E,CABLE ROAD,4,"10/15/2022, 06:55:38"
103000850,1.2950687499722084 103.82457458512825 1.296280223288126 103.82330040109034,39,30,E,CABLE ROAD,4,"10/15/2022, 06:55:38"
103000851,1.296280223288126 103.82330040109034 1.2950687499722084 103.82457458512825,39,30,E,CABLE ROAD,4,"10/15/2022, 06:55:38"
103000854,1.2959196449682264 103.8354990479806 1.2950148913365573 103.83540405321959,59,50,E,JALAN KUALA,6,"10/15/2022, 06:55:38"
103000855,1.2950148913365573 103.83540405321959 1.2959196449682264 103.8354990479806,59,50,E,JALAN KUALA,6,"10/15/2022, 06:55:38"
