LinkID,Location,MaximumSpeed,MinimumSpeed,RoadCategory,RoadName,SpeedBand,Page
103000163,1.323225112339397 103.84825791705197 1.3223315936500188 103.84782453064221,29,20,E,AKYAB ROAD,3,1
103000166,1.3158766228467986 103.8525278217439 1.3154336431941307 103.853008273284,29,20,E,OXFORD ROAD,3,1
103000167,1.3154336431941307 103.853008273284 1.3158766228467986 103.8525278217439,69,60,E,OXFORD ROAD,7,1
103000170,1.315899168782131 103.85944206093603 1.3154021442041506 103.85980837679445,59,50,E,KEMPAS ROAD,6,1
103000171,1.3154021442041506 103.85980837679445 1.315899168782131 103.85944206093603,999,70,E,KEMPAS ROAD,8,1
103000174,1.3157770120574521 103.84426743639843 1.3156603053759763 103.84390320841796,59,50,E,JALAN KORMA,6,1
103000175,1.3156603053759763 103.84390320841796 1.3157770120574521 103.84426743639843,59,50,E,JALAN KORMA,6,1
103000176,1.3098922536055888 103.83345390955975 1.3097312042342106 103.83404900921593,39,30,F,STEVENS ROAD,4,1
103000182,1.3095892684441353 103.82839685211003 1.3097460950865234 103.82879350703922,19,10,D,ARDMORE PARK,2,1
103000183,1.3097460950865234 103.82879350703922 1.3095892684441353 103.82839685211003,9,0,D,ARDMORE PARK,1,1
103000186,1.3095892684441353 103.82839685211003 1.3102253421678596 103.82740509577657,19,10,D,ARDMORE PARK,2,1
103000187,1.3102253421678596 103.82740509577657 1.3095892684441353 103.82839685211003,19,10,D,ARDMORE PARK,2,1
103000190,1.310468565405978 103.8376076936921 1.3095693665135413 103.8362897642633,29,20,E,ANTHONY ROAD,3,1
103000191,1.3095693665135413 103.8362897642633 1.310468565405978 103.8376076936921,19,10,E,ANTHONY ROAD,2,1
103000194,1.3095693665135413 103.8362897642633 1.310692335045372 103.83555854453066,39,30,C,CAIRNHILL ROAD,4,1
103000195,1.310692335045372 103.83555854453066 1.3095693665135413 103.8362897642633,39,30,C,CAIRNHILL ROAD,4,1
103000198,1.3156794372910703 103.85925389319206 1.315899168782131 103.85944206093603,19,10,E,KEMPAS ROAD,2,1
103000199,1.315899168782131 103.85944206093603 1.3156794372910703 103.85925389319206,29,20,E,KEMPAS ROAD,3,1
103000202,1.3778764702530613 103.83969577191468 1.377082366481272 103.8395587643731,29,20,C,ANG MO KIO AVENUE 4,3,1
103000203,1.377082366481272 103.8395587643731 1.3778764702530613 103.83969577191468,29,20,C,ANG MO KIO AVENUE 4,3,1
103000206,1.3765237228546703 103.83946526641823 1.377082366481272 103.8395587643731,29,20,C,ANG MO KIO AVENUE 4,3,1
103000207,1.377082366481272 103.8395587643731 1.3765237228546703 103.83946526641823,29,20,C,ANG MO KIO AVENUE 4,3,1
103000210,1.3835254500944634 103.83770121892717 1.38338023612439 103.83781517599795,49,40,C,ANG MO KIO AVENUE 4,5,1
103000211,1.38338023612439 103.83781517599795 1.3835254500944634 103.83770121892717,19,10,C,ANG MO KIO AVENUE 4,2,1
103000214,1.38338023612439 103.83781517599795 1.3822793699880447 103.83863653439964,19,10,C,ANG MO KIO AVENUE 4,2,1
103000215,1.3822793699880447 103.83863653439964 1.38338023612439 103.83781517599795,19,10,C,ANG MO KIO AVENUE 4,2,1
103000218,1.3840112390167347 103.83732856251386 1.3835254500944634 103.83770121892717,29,20,C,ANG MO KIO AVENUE 4,3,1
103000219,1.3835254500944634 103.83770121892717 1.3840112390167347 103.83732856251386,29,20,C,ANG MO KIO AVENUE 4,3,1
103000222,1.3777027981180603 103.84756217854924 1.3771978910136298 103.84765705588656,39,30,C,ANG MO KIO AVENUE 8,4,1
103000223,1.3771978910136298 103.84765705588656 1.3777027981180603 103.84756217854924,29,20,C,ANG MO KIO AVENUE 8,3,1
103000226,1.3771978910136298 103.84765705588656 1.376730487972268 103.84773795161581,39,30,C,ANG MO KIO AVENUE 8,4,1
103000227,1.376730487972268 103.84773795161581 1.3771978910136298 103.84765705588656,29,20,C,ANG MO KIO AVENUE 8,3,1
103000228,1.3133901063939397 103.85032404665321 1.3129765172117367 103.84974217909104,49,40,D,DORSET ROAD,5,1
103000234,1.3839740978654103 103.84313695546383 1.3838894069258951 103.8424480441498,29,20,D,ANG MO KIO AVENUE 9,3,1
103000235,1.3838894069258951 103.8424480441498 1.3839740978654103 103.84313695546383,39,30,D,ANG MO KIO AVENUE 9,4,1
103000238,1.317103654150258 103.84888640803763 1.3164233526759435 103.84775689847758,59,50,B,NORFOLK ROAD,6,1
103000239,1.3164233526759435 103.84775689847758 1.317103654150258 103.84888640803763,69,60,B,NORFOLK ROAD,7,1
103000242,1.3748784522832425 103.83811376463666 1.3755371440113777 103.8390063090149,19,10,C,ANG MO KIO AVENUE 4,2,1
103000243,1.3755371440113777 103.8390063090149 1.3748784522832425 103.83811376463666,29,20,C,ANG MO KIO AVENUE 4,3,1
103000246,1.3112406329656845 103.82143582576197 1.3118940935550105 103.82204317904964,29,20,D,NASSIM ROAD,3,1
103000247,1.3118940935550105 103.82204317904964 1.3112406329656845 103.82143582576197,19,10,D,NASSIM ROAD,2,1
103000254,1.3134139917128311 103.82959840334954 1.3129593497249092 103.82975943310102,19,10,E,BALMORAL PARK,2,1
103000255,1.3129593497249092 103.82975943310102 1.3134139917128311 103.82959840334954,39,30,E,BALMORAL PARK,4,1
103000258,1.3131328782183662 103.82911750896497 1.3129593497249092 103.82975943310102,39,30,C,STEVENS ROAD,4,1
103000259,1.3129593497249092 103.82975943310102 1.3131328782183662 103.82911750896497,39,30,C,STEVENS ROAD,4,1
103000260,1.3128994765010902 103.85727722633219 1.3134069573818214 103.85667709880157,39,30,E,PETAIN ROAD,4,1
103000266,1.3135704480430792 103.8305390230549 1.3129593497249092 103.82975943310102,39,30,D,BALMORAL ROAD,4,1
103000267,1.3129593497249092 103.82975943310102 1.3135704480430792 103.8305390230549,39,30,D,BALMORAL ROAD,4,1
103000270,1.3129593497249092 103.82975943310102 1.3129482532197405 103.82979421597224,39,30,C,STEVENS ROAD,4,1
103000271,1.3129482532197405 103.82979421597224 1.3129593497249092 103.82975943310102,39,30,C,STEVENS ROAD,4,1
103000276,1.3131522033523786 103.84591215724936 1.3129397527298754 103.8453609319561,59,50,F,KAMPONG JAVA ROAD,6,1
103000282,1.3128915402722743 103.8435107552494 1.3134502209463657 103.8434271564376,59,50,B,KAMPONG JAVA ROAD,6,1
103000283,1.3134502209463657 103.8434271564376 1.3128915402722743 103.8435107552494,59,50,B,KAMPONG JAVA ROAD,6,1
103000290,1.3133115247400988 103.85513650754488 1.3128657945370725 103.85467601502488,39,30,D,RACE COURSE ROAD,4,1
103000291,1.3128657945370725 103.85467601502488 1.3133115247400988 103.85513650754488,39,30,D,RACE COURSE ROAD,4,1
103000292,1.3112814046832442 103.8745843404284 1.3128669001147928 103.8740481840283,29,20,E,LORONG 3 GEYLANG,3,1
103000298,1.311265024985496 103.83361404903052 1.3114126715258738 103.83387874363073,49,40,E,GOODWOOD HILL,5,1
103000299,1.3114126715258738 103.83387874363073 1.311265024985496 103.83361404903052,999,70,E,GOODWOOD HILL,8,1
103000300,1.3115941685350712 103.83315772987676 1.311265024985496 103.83361404903052,49,40,F,STEVENS ROAD,5,1
103000306,1.3112406329656845 103.82143582576197 1.3116597146848918 103.8212526635276,29,20,D,NASSIM ROAD,3,1
103000307,1.3116597146848918 103.8212526635276 1.3112406329656845 103.82143582576197,29,20,D,NASSIM ROAD,3,1
103000310,1.311229840433147 103.84910566257994 1.311802597676934 103.84973058015619,29,20,E,RUTLAND ROAD,3,1
103000311,1.311802597676934 103.84973058015619 1.311229840433147 103.84910566257994,19,10,E,RUTLAND ROAD,2,1
103000312,1.3113680558354108 103.8488917458808 1.311229840433147 103.84910566257994,49,40,E,RUTLAND ROAD,5,1
103000316,1.292423970537279 103.86259120957735 1.2912349150968774 103.8623028359393,59,50,F,OPHIR ROAD,6,1
103000324,1.2912309351425506 103.86236811495664 1.2918238027402373 103.86295353079224,19,10,F,RAFFLES BOULEVARD,2,1
103000330,1.3739406188810974 103.83737872197739 1.3748784522832425 103.83811376463666,19,10,C,ANG MO KIO AVENUE 4,2,1
103000331,1.3748784522832425 103.83811376463666 1.3739406188810974 103.83737872197739,29,20,C,ANG MO KIO AVENUE 4,3,1
103000334,1.3694747355079808 103.84946957875535 1.369024197584065 103.84972450005914,29,20,C,ANG MO KIO AVENUE 8,3,1
103000335,1.369024197584065 103.84972450005914 1.3694747355079808 103.84946957875535,19,10,C,ANG MO KIO AVENUE 8,2,1
103000338,1.370561839669548 103.84885708436424 1.3696927152524048 103.84934676362796,29,20,C,ANG MO KIO AVENUE 8,3,1
103000339,1.3696927152524048 103.84934676362796 1.370561839669548 103.84885708436424,39,30,C,ANG MO KIO AVENUE 8,4,1
103000342,1.3696927152524048 103.84934676362796 1.3694747355079808 103.84946957875535,29,20,C,ANG MO KIO AVENUE 8,3,1
103000343,1.3694747355079808 103.84946957875535 1.3696927152524048 103.84934676362796,29,20,C,ANG MO KIO AVENUE 8,3,1
103000346,1.3239673531148124 103.92722444692839 1.3236245437060072 103.92726159815368,29,20,C,BEDOK NORTH AVENUE 1,3,1
103000347,1.3236245437060072 103.92726159815368 1.3239673531148124 103.92722444692839,39,30,C,BEDOK NORTH AVENUE 1,4,1
103000350,1.3240846767490342 103.92720949943045 1.3244923386287593 103.9271573268364,39,30,C,BEDOK NORTH AVENUE 1,4,1
103000351,1.3244923386287593 103.9271573268364 1.3240846767490342 103.92720949943045,29,20,C,BEDOK NORTH AVENUE 1,3,1
103000354,1.3159382308514525 103.84261245053749 1.315854648211366 103.84294233512517,59,50,E,SURREY ROAD,6,1
103000355,1.315854648211366 103.84294233512517 1.3159382308514525 103.84261245053749,29,20,E,SURREY ROAD,3,1
103000358,1.3807128617466986 103.84499903089491 1.3807123642926429 103.84500991262863,19,10,C,ANG MO KIO AVENUE 8,2,1
103000359,1.3807123642926429 103.84500991262863 1.3807128617466986 103.84499903089491,39,30,C,ANG MO KIO AVENUE 8,4,1
103000362,1.3118940935550105 103.82204317904964 1.3126625795883653 103.82252274944035,29,20,D,NASSIM ROAD,3,1
103000363,1.3126625795883653 103.82252274944035 1.3118940935550105 103.82204317904964,19,10,D,NASSIM ROAD,2,1
103000366,1.315854648211366 103.84294233512517 1.3167136667120711 103.84327853125002,59,50,E,LINCOLN ROAD,6,1
103000367,1.3167136667120711 103.84327853125002 1.315854648211366 103.84294233512517,29,20,E,LINCOLN ROAD,3,1
103000374,1.3807123642926429 103.84500991262863 1.380684897925153 103.8451761128162,19,10,C,ANG MO KIO AVENUE 8,2,1
103000375,1.380684897925153 103.8451761128162 1.3807123642926429 103.84500991262863,39,30,C,ANG MO KIO AVENUE 8,4,1
103000378,1.3157272395598174 103.84338520326874 1.315854648211366 103.84294233512517,29,20,E,SURREY ROAD,3,1
103000379,1.315854648211366 103.84294233512517 1.3157272395598174 103.84338520326874,29,20,E,SURREY ROAD,3,1
103000382,1.3156132848934614 103.84225443085381 1.3159382308514525 103.84261245053749,39,30,E,SURREY ROAD,4,1
103000383,1.3159382308514525 103.84261245053749 1.3156132848934614 103.84225443085381,39,30,E,SURREY ROAD,4,1
103000386,1.3147915862600077 103.84277519172518 1.3157272395598174 103.84338520326874,29,20,E,WEE NAM ROAD,3,1
103000387,1.3157272395598174 103.84338520326874 1.3147915862600077 103.84277519172518,29,20,E,WEE NAM ROAD,3,1
103000390,1.291162335870407 103.83939185990795 1.2909587737416484 103.83879622503638,39,30,E,MOHAMAD SULTAN ROAD,4,1
103000391,1.2909587737416484 103.83879622503638 1.291162335870407 103.83939185990795,29,20,E,MOHAMAD SULTAN ROAD,3,1
103000394,1.2916111381542603 103.83840296152836 1.2909587737416484 103.83879622503638,29,20,E,MARTIN ROAD,3,1
103000395,1.2909587737416484 103.83879622503638 1.2916111381542603 103.83840296152836,39,30,E,MARTIN ROAD,4,1
103000406,1.2909587737416484 103.83879622503638 1.2896315925323827 103.83812231618583,29,20,E,SAIBOO STREET,3,1
103000407,1.2896315925323827 103.83812231618583 1.2909587737416484 103.83879622503638,29,20,E,SAIBOO STREET,3,1
103000408,1.304116421073875 103.88129074763484 1.303480947720935 103.88194501182524,999,70,F,STADIUM CRESCENT,8,1
103000414,1.3034705740870907 103.85962406762611 1.3041658180712976 103.85918340072986,19,10,E,JALAN KUBOR,2,1
103000415,1.3041658180712976 103.85918340072986 1.3034705740870907 103.85962406762611,49,40,E,JALAN KUBOR,5,1
103000418,1.30450312346212 103.82573244672774 1.3034535281731428 103.82621354051224,49,40,D,TOMLINSON ROAD,5,1
103000419,1.3034535281731428 103.82621354051224 1.30450312346212 103.82573244672774,19,10,D,TOMLINSON ROAD,2,1
103000422,1.3037416943275602 103.83626910885548 1.303367431108309 103.83695623568973,29,20,C,BIDEFORD ROAD,3,1
103000423,1.303367431108309 103.83695623568973 1.3037416943275602 103.83626910885548,29,20,C,BIDEFORD ROAD,3,1
103000430,1.299700019895312 103.82447173073814 1.2997425241983005 103.82423630283773,49,40,D,CHATSWORTH ROAD,5,1
103000431,1.2997425241983005 103.82423630283773 1.299700019895312 103.82447173073814,19,10,D,CHATSWORTH ROAD,2,1
103000432,1.299700493522719 103.83736801561635 1.299804080133152 103.83693000207771,29,20,E,DEVONSHIRE ROAD,3,1
103000438,1.3002619350753117 103.8215795098097 1.2996880144700964 103.82122821735582,39,30,D,CHATSWORTH ROAD,4,1
103000439,1.2996880144700964 103.82122821735582 1.3002619350753117 103.8215795098097,39,30,D,CHATSWORTH ROAD,4,1
103000446,1.3004162443480554 103.85026714446101 1.299920511324217 103.84973050315914,19,10,B,PRINSEP STREET,2,1
103000447,1.299920511324217 103.84973050315914 1.3004162443480554 103.85026714446101,29,20,B,PRINSEP STREET,3,1
103000448,1.311229840433147 103.84910566257994 1.3113233168952205 103.84889480067116,49,40,E,RUTLAND ROAD,5,1
103000454,1.3112234836796168 103.82532382034226 1.3114913467964102 103.82511923783522,29,20,D,ORANGE GROVE ROAD,3,1
103000455,1.3114913467964102 103.82511923783522 1.3112234836796168 103.82532382034226,39,30,D,ORANGE GROVE ROAD,4,1
103000456,1.3112234836796168 103.82532382034226 1.3113363109408036 103.82493559289007,29,20,D,ORANGE GROVE ROAD,3,1
103000466,1.3106771084130493 103.84231654800287 1.3112736986654532 103.84260572116985,19,10,E,WINSTEDT DRIVE,2,1
103000467,1.3112736986654532 103.84260572116985 1.3106771084130493 103.84231654800287,39,30,E,WINSTEDT DRIVE,4,1
103000470,1.319061396656469 103.84092930386213 1.3188105351806543 103.84085187490123,59,50,E,GILSTEAD ROAD,6,1
103000471,1.3188105351806543 103.84085187490123 1.319061396656469 103.84092930386213,39,30,E,GILSTEAD ROAD,4,1
103000474,1.3193341206043803 103.84649970636902 1.318792210179824 103.84759767077377,29,20,E,MOULMEIN RISE,3,1
103000475,1.318792210179824 103.84759767077377 1.3193341206043803 103.84649970636902,59,50,E,MOULMEIN RISE,6,1
103000476,1.2995966073516918 103.82492836261135 1.299590087190852 103.82502125420042,19,10,C,GRANGE ROAD,2,1
103000486,1.3040286035789885 103.84718841611495 1.303500829348059 103.84807244793292,39,30,E,UPPER WILKIE ROAD,4,1
103000487,1.303500829348059 103.84807244793292 1.3040286035789885 103.84718841611495,39,30,E,UPPER WILKIE ROAD,4,1
103000488,1.303806415521386 103.88260774967814 1.304792453252485 103.88350989144139,49,40,E,JALAN BENAAN KAPAL,5,1
103000494,1.3126031583342976 103.83124637127273 1.3123210243571486 103.83235126377782,39,30,C,STEVENS ROAD,4,1
103000495,1.3123210243571486 103.83235126377782 1.3126031583342976 103.83124637127273,39,30,C,STEVENS ROAD,4,1
103000498,1.3068304068438552 103.85870764712449 1.3063839358022185 103.85912667113942,19,10,E,SYED ALWI ROAD,2,1
103000499,1.3063839358022185 103.85912667113942 1.3068304068438552 103.85870764712449,49,40,E,SYED ALWI ROAD,5,1
103000506,1.316224036531867 103.84001801202565 1.316912438354752 103.84022564204443,19,10,E,BUCKLEY ROAD,2,1
103000507,1.316912438354752 103.84022564204443 1.316224036531867 103.84001801202565,59,50,E,BUCKLEY ROAD,6,1
103000514,1.3014384798662653 103.88794327377201 1.3007662685213992 103.88781914331392,39,30,E,ARTHUR ROAD,4,1
103000515,1.3007662685213992 103.88781914331392 1.3014384798662653 103.88794327377201,29,20,E,ARTHUR ROAD,3,1
103000516,1.3003646841996643 103.85417742366865 1.2995900710274935 103.8549671753034,39,30,E,CHENG YAN PLACE,4,1
103000522,1.3807436860731306 103.84424669062072 1.3807128617466986 103.84499903089491,19,10,C,ANG MO KIO AVENUE 8,2,1
103000523,1.3807128617466986 103.84499903089491 1.3807436860731306 103.84424669062072,49,40,C,ANG MO KIO AVENUE 8,5,1
103000526,1.368574220333337 103.84998011317111 1.3690128206372936 103.84973096070034,29,20,C,ANG MO KIO AVENUE 8,3,1
103000527,1.3690128206372936 103.84973096070034 1.368574220333337 103.84998011317111,29,20,C,ANG MO KIO AVENUE 8,3,1
103000530,1.3266284824846761 103.92688480413254 1.3257932174490585 103.92699111651997,19,10,C,BEDOK NORTH AVENUE 1,2,1
103000531,1.3257932174490585 103.92699111651997 1.3266284824846761 103.92688480413254,29,20,C,BEDOK NORTH AVENUE 1,3,1
103000534,1.3257932174490585 103.92699111651997 1.3253879069403292 103.92704270518263,19,10,C,BEDOK NORTH AVENUE 1,2,1
103000535,1.3253879069403292 103.92704270518263 1.3257932174490585 103.92699111651997,19,10,C,BEDOK NORTH AVENUE 1,2,1
103000538,1.3305807737063633 103.93447239316134 1.3299795120811468 103.9345891987128,39,30,C,BEDOK NORTH AVENUE 3,4,1
103000539,1.3299795120811468 103.9345891987128 1.3305807737063633 103.93447239316134,39,30,C,BEDOK NORTH AVENUE 3,4,1
103000542,1.299700019895312 103.82447173073814 1.2995966073516918 103.82492836261135,19,10,D,CHATSWORTH ROAD,2,1
103000543,1.2995966073516918 103.82492836261135 1.299700019895312 103.82447173073814,49,40,D,CHATSWORTH ROAD,5,1
103000550,1.2995260904869215 103.85348852047383 1.3003646841996643 103.85417742366865,59,50,C,QUEEN STREET,6,1
103000551,1.3003646841996643 103.85417742366865 1.2995260904869215 103.85348852047383,59,50,C,QUEEN STREET,6,1
103000554,1.299859186451872 103.82000765106312 1.2995256187143942 103.8196669425863,29,20,D,CHATSWORTH ROAD,3,1
103000555,1.2995256187143942 103.8196669425863 1.299859186451872 103.82000765106312,69,60,D,CHATSWORTH ROAD,7,1
103000558,1.3011053085669935 103.81805296688717 1.3014774243966796 103.81754655338793,29,20,E,TANGLIN HILL,3,1
103000559,1.3014774243966796 103.81754655338793 1.3011053085669935 103.81805296688717,29,20,E,TANGLIN HILL,3,1
103000562,1.301806472610639 103.86270975462338 1.3010613159329476 103.86316751887426,39,30,D,JAVA ROAD,4,1
103000563,1.3010613159329476 103.86316751887426 1.301806472610639 103.86270975462338,39,30,D,JAVA ROAD,4,1
103000564,1.3011202434375964 103.88493813701652 1.3010447762182693 103.88439916122353,39,30,F,KAMPONG ARANG ROAD,4,1
103000568,1.3010447762182693 103.88439916122353 1.301661818312337 103.88468093944955,49,40,F,KAMPONG ARANG ROAD,5,1
103000574,1.3010999072766916 103.88345318308859 1.3010447762182693 103.88439916122353,59,50,E,KAMPONG ARANG ROAD,6,1
103000575,1.3010447762182693 103.88439916122353 1.3010999072766916 103.88345318308859,19,10,E,KAMPONG ARANG ROAD,2,1
103000576,1.2997159390706274 103.82516587459126 1.2997838115829037 103.82514573798137,19,10,C,GRANGE ROAD,2,1
103000582,1.3045514800189688 103.82322716383942 1.3045308153176574 103.82323542156517,39,30,C,GRANGE ROAD,4,1
103000583,1.3045308153176574 103.82323542156517 1.3045514800189688 103.82322716383942,29,20,C,GRANGE ROAD,3,1
103000586,1.3045308153176574 103.82323542156517 1.3039803203240277 103.82345537893475,39,30,C,GRANGE ROAD,4,1
103000587,1.3039803203240277 103.82345537893475 1.3045308153176574 103.82323542156517,29,20,C,GRANGE ROAD,3,1
