,CameraID,Latitude,Longitude
0,1001,1.29531332,103.871146
1,1002,1.319541067,103.8785627
2,1003,1.323957439,103.8728576
3,1004,1.319535712,103.8750668
4,1005,1.363519886,103.905394
5,1006,1.357098686,103.902042
6,1501,1.27414394350065,103.851316802547
7,1502,1.27135090682664,103.861828440597
8,1503,1.27066408655104,103.856977943394
9,1504,1.29409891409364,103.876056196568
10,1505,1.2752977149006,103.866390381759
11,1701,1.323604823,103.8587802
12,1702,1.34355015,103.8601984
13,1703,1.32814722194857,103.862203282048
14,1704,1.28569398886979,103.837524510188
15,1705,1.375925022,103.8587986
16,1706,1.38861,103.85806
17,1707,1.28036584335876,103.830451146503
18,1709,1.31384231654635,103.845603032574
19,1711,1.35296,103.85719
20,2701,1.447023728,103.7716543
21,2702,1.445554109,103.7683397
22,2703,1.35047790791386,103.791033581325
23,2704,1.429588536,103.769311
24,2705,1.36728572,103.7794698
25,2706,1.414142,103.771168
26,2707,1.3983,103.774247
27,2708,1.3865,103.7747
28,3702,1.33831,103.98032
29,3704,1.2958550156561,103.880314665981
30,3705,1.32743,103.97383
31,3793,1.309330837,103.9350504
32,3795,1.30145145166066,103.910596320237
33,3796,1.297512569,103.8983019
34,3797,1.29565733262976,103.885283049309
35,3798,1.29158484,103.8615987
36,4701,1.2871,103.79633
37,4702,1.27237,103.8324
38,4703,1.348697862,103.6350413
39,4704,1.27877,103.82375
40,4705,1.32618,103.73028
41,4706,1.29792,103.78205
42,4707,1.33344648135658,103.652700847056
43,4708,1.29939,103.7799
44,4709,1.312019,103.763002
45,4710,1.32153,103.75273
46,4712,1.341244001,103.6439134
47,4713,1.347645829,103.6366955
48,4714,1.31023,103.76438
49,4716,1.32227,103.67453
50,4798,1.25999999687243,103.823611110166
51,4799,1.26027777363278,103.823888890049
52,5794,1.3309693,103.9168616
53,5795,1.326024822,103.905625
54,5797,1.322875288,103.8910793
55,5798,1.32036078126842,103.877174116489
56,5799,1.328171608,103.8685191
57,6701,1.329334,103.858222
58,6703,1.328899,103.84121
59,6704,1.32657403632366,103.826857295633
60,6705,1.332124,103.81768
61,6706,1.349428893,103.7952799
62,6708,1.345996,103.69016
63,6710,1.344205,103.78577
64,6711,1.33771,103.977827
65,6712,1.332691,103.770278
66,6713,1.340298,103.945652
67,6714,1.361742,103.703341
68,6715,1.356299,103.716071
69,6716,1.322893,103.6635051
70,7791,1.354245,103.963782
71,7793,1.37704704,103.92946983
72,7794,1.37988658,103.92009174
73,7795,1.38432741,103.91585701
74,7796,1.39559294,103.90515712
75,7797,1.40002575,103.85702534
76,7798,1.39748842,103.85400467
77,8701,1.38647,103.74143
78,8702,1.39059,103.7717
79,8704,1.3899,103.74843
80,8706,1.3664,103.70899
81,9701,1.39466333,103.83474601
82,9702,1.39474081,103.81797086
83,9703,1.422857,103.773005
84,9704,1.42214311,103.79542062
85,9705,1.42627712,103.78716637
86,9706,1.41270056,103.80642712
